samplename At_percent Ps_percent unannotated Ps_atleast1read
1.CAN_1994a_S53 0.539 0.00013 0.46072 0.00173
2.CAN_1994b_S55 0.552 0.00004 0.44786 0.00058
3.CYP_1884_S20 0.610 0.00190 0.38837 0.02363
4.DEU_1915_S41 0.598 0.00010 0.40163 0.00076
5.DEU_1922_S33 0.474 0.00410 0.52355 0.14400
6.DEU_1972_S43 0.057 0.02327 0.92080 0.41514
7.DRC_1972_S45 0.428 0.00005 0.57116 0.00073
8.DZA_1862 0.549 0.00464 0.44843 0.17197
9.ERI_1969_S50 0.441 0.00007 0.55877 0.00098
10.ESP_1820 0.086 0.01864 0.89657 0.26332
11.ESP_1908a 0.651 0.00021 0.34820 0.00305
12.ESP_1908b 0.668 0.00005 0.33108 0.00073
13.ESP_1911 0.581 0.00397 0.41721 0.07179
14.ESP_1912a 0.639 0.00053 0.36070 0.00528
15.ESP_1912b 0.496 0.00006 0.50369 0.00092
16.ESP_1913_S15 0.649 0.00028 0.35023 0.00382
17.ESP_1914 0.627 0.00420 0.37140 0.10829
18.ESP_1924 0.615 0.00209 0.38407 0.01965
19.ESP_1926_S46 0.642 0.00004 0.35727 0.00051
20.ESP_1927 0.612 0.00017 0.38786 0.00240
21.ESP_1930 0.637 0.00017 0.36201 0.00323
22.ESP_1944 0.608 0.00180 0.39066 0.04037
23.ESP_1946 0.487 0.00111 0.51234 0.02607
24.ESP_1966 0.555 0.00125 0.44429 0.02149
25.ESP_1966_S41 0.649 0.00299 0.34941 0.09597
26.ESP_1968 0.526 0.00198 0.47285 0.02521
27.ESP_1975 0.044 0.00909 0.94653 0.47713
28.ESP_1982 0.623 0.00062 0.37588 0.00724
29.ESP_1983a 0.471 0.00276 0.52735 0.04184
30.ESP_1983b 0.096 0.00704 0.89716 0.36091
31.ESP_1983d_S46 0.236 0.00346 0.76068 0.00013
32.ESP_1985a_S33 0.025 0.00160 0.97259 0.01191
33.ESP_1985b 0.018 0.08098 0.90203 0.88274
34.ESP_1985c_S36 0.290 0.18494 0.57867 0.84461
35.ESP_1985d_S11 0.629 00 0.37030 0
36.ESP_1987 0.020 0.00098 0.97902 0.03731
37.ESP_1992 0.342 0.00585 0.65358 0.20906
38.ESP_1995_S29 0.579 0.00007 0.42095 0.00111
39.ESP_1998a 0.475 0.00046 0.52382 0.00557
40.ESP_1998b_S2 0.618 0.00005 0.38126 0.00137
41.ESP_1999_S34 0.618 0.00008 0.38104 0.00169
42.ESP_2002 0.415 0.00229 0.58331 0.01324
43.ESP_2007_S15 0.531 0.00019 0.46819 0.00342
44.ESP_2008_S22 0.466 0.00011 0.53392 0.00164
45.ETH_1838_S20 0.515 0.00439 0.48239 0.06435
46.ETH_1838_S52 0.611 0.00073 0.38821 0.01687
47.ETH_1852a_S45 0.585 0.03324 0.40089 0.56454
48.ETH_1852b_S18 0.623 0.00037 0.37592 0.00005
49.ETH_1892_S30 0.617 0.00247 0.38141 0.03343
50.ETH_1965_S37 0.585 00 0.41401 0.00006
51.ETH_1968a_S7 0.568 0.00083 0.43089 0.01008
52.ETH_1968b_S44 0.564 0.00374 0.43400 0.05690
53.ETH_1968c_S26 0.618 0.00014 0.38096 0.00257
54.ETH_1973_S63 0.450 0.00001 0.54911 0.00013
55.ETH_1984 0.601 0.00015 0.39861 0.00345
56.ETH_2003 0.593 0.00021 0.40601 0.00304
57.FRA_1943_S25 0.624 0.00022 0.37591 0.00248
58.GBR_1867_S19 0.527 0.00316 0.47075 0.03325
59.GBR_1899 0.512 0.00488 0.48482 0.09033
60.GBR_1902_S22 0.555 0.00210 0.44383 0.02708
61.GBR_1918_S17 0.650 0.00052 0.34931 0.00556
62.GBR_1921 0.483 0.00194 0.51598 0.01630
63.GBR_1933a_S43 0.305 0.00033 0.69377 0.00199
64.GBR_1933b_S36 0.414 0.08519 0.53578 0.78816
65.GBR_1953_S18 0.060 0.00163 0.93758 0.03771
66.GBR_1967_S13 0.569 0.00742 0.42776 0.15624
67.GBR_2008_S17 0.362 0.00003 0.63699 0.00033
68.ITA_1973_S11 0.558 0.00015 0.44098 0.00544
69.KAZ_1914_S32 0.515 0.00012 0.48447 0.00071
70.KAZ_1921_S1 0.616 0.00015 0.38393 0.00278
71.KAZ_1956_S8 0.604 0.00001 0.39568 0.00018
72.KEN_1935_S42 0.582 0.00002 0.41708 0.00027
73.KEN_1967_S36 0.352 0.00068 0.64668 0.01071
74.KEN_1997_S41 0.503 0.00007 0.49638 0.00105
75.LTU_1894_S30 0.299 0.03002 0.67968 0.39125
76.LTU_2009_S19 0.008 0.20675 0.78626 0.84494
77.MAR_1981 0.448 0.01151 0.54535 0.45940
78.NLD_1960_S12 0.484 0.00229 0.51417 0.03518
79.NOR_1898a 0.599 0.00175 0.40017 0.03889
80.NOR_1898_S26 0.519 0.00012 0.48079 0.00058
81.NOR_1899 0.606 0.00544 0.39166 0.17618
82.NOR_1905 0.573 0.00232 0.42579 0.03685
83.NOR_1906_S9 0.570 0.00115 0.42894 0.02070
84.NOR_1907_S24 0.575 0.00016 0.42424 0.00208
85.NOR_1908 0.375 0.00555 0.62123 0.07962
86.NOR_1911_S7 0.302 0.00490 0.69380 0.34452
87.NOR_1912 0.526 0.00301 0.47213 0.03023
88.NOR_1912_S13 0.645 0.00020 0.35442 0.00204
89.NOR_1916 0.580 0.00139 0.41859 0.01381
90.NOR_1918_S2 0.495 0.00010 0.50483 0.00099
91.NOR_1925 0.588 0.00017 0.41109 0.00161
92.NOR_1927_S25 0.512 0.00016 0.48704 0.00178
93.NOR_1928_S6 0.411 0.01241 0.58107 0.12964
94.NOR_1929 0.581 0.00140 0.41767 0.02644
95.NOR_1934 0.439 0.00621 0.55654 0.19360
96.NOR_1935 0.537 0.00206 0.46106 0.02096
97.NOR_1935_S3 0.453 0.00171 0.54520 0.01455
98.NOR_1942 0.478 0.00231 0.51993 0.03081
99.NOR_1949a 0.537 0.00412 0.46086 0.08640
100.NOR_1949_S5 0.635 0.00044 0.36448 0.01068
101.NOR_1952 0.497 0.00111 0.50232 0.01858
102.NOR_1954_S21 0.615 0.00007 0.38485 0.00163
103.NOR_1955_S42 0.482 0.00800 0.51325 0.00019
104.NOR_1956 0.083 0.00786 0.90921 0.16313
105.NOR_1966 0.408 0.00661 0.58743 0.07727
106.NOR_1967_S28 0.562 0.00897 0.43380 0.00037
107.NOR_1968 0.306 0.00098 0.69323 0.02969
108.NOR_1976 0.568 0.00192 0.43097 0.03508
109.NOR_1990 0.093 0.08294 0.83132 0.90188
110.NOR_1992 0.457 0.00185 0.54192 0.03598
111.NOR_1994 0.518 0.00182 0.48064 0.01455
112.NOR_1995_S22 0.501 0.00003 0.49845 0.00022
113.NOR_1995_S35 0.612 0.00008 0.38791 0.00219
114.NOR_2003 0.377 0.00532 0.61905 0.02706
115.NPL_1952 0.317 0.00494 0.67957 0.09185
116.POL_1895_S10 0.318 0.00060 0.68085 0.01033
117.POL_2007_S5 0.534 0.00011 0.46547 0.00126
118.PRT_1954 0.332 0.02447 0.65074 0.32165
119.PRT_1971 0.654 0.00044 0.34546 0.00442
120.RUS_1860 0.126 0.04091 0.83780 0.78655
121.RUS_1885_S16 0.572 0.00228 0.42642 0.02490
122.RUS_1906_S7 0.625 0.00016 0.37404 0.00325
123.RUS_1907_S11 0.615 0.00084 0.38417 0.01872
124.RUS_1909_S40 0.537 0.00323 0.46101 0.05126
125.RUS_1912_S16 0.326 0.00012 0.67379 0.00506
126.RUS_1917_S29 0.112 0.00667 0.88160 0.06994
127.RUS_1926_S28 0.642 0.00008 0.35770 0.00076
128.RUS_1927_S31 0.516 0.00023 0.48301 0.00122
129.RUS_1950_S10 0.639 0.00013 0.36076 0.00311
130.RUS_1960_S9 0.631 0.00078 0.36810 0.00807
131.RUS_1974_S24 0.630 0.00014 0.36947 0.00212
132.RWA_1974_S49 0.579 0.00001 0.42042 0.00029
133.SP_1897 0.573 0.00102 0.42639 0.00985
134.TZA_1894_S43 0.608 0.00001 0.39119 0.00029
135.TZA_1908_S47 0.473 0.00031 0.52662 0.00284
136.TZA_1953_S47 0.531 0.00001 0.46883 0.00020
137.TZA_1985_S38 0.533 0.00001 0.46680 0.00009
138.TZA_2011_S34 0.574 0.00028 0.42552 0.00022
139.UKR_1902_S18 0.567 0.00261 0.43090 0.02775
140.UKR_1952_S24 0.013 00 0.98688 0.00008
141.US_1986_S54 0.646 00 0.35328 0.00015
142.US_2010_S56 0.571 00 0.42894 0.00007
143.ZAF_1917_S6 0.533 0.00028 0.46676 0.00596
samplename At_percent Ps_percent unannotated Ps_atleast1read
samplename At_percent Ps_percent unannotated Ps_atleast1read
