samplename At_percent Ps_percent unannotated Ps_atleast1read
HB0702 0.473 0.00026 0.52662 0.00701
HB0711 0.524 0.00117 0.47530 0.02660
HB0713 0.469 0.00093 0.52970 0.05758
HB0715 0.487 0.00090 0.51246 0.06346
HB0717 0.650 0.00101 0.34916 0.00664
HB0718 0.363 0.00111 0.63576 0.08503
HB0719 0.535 0.00092 0.46416 0.02165
HB0722 0.315 0.00127 0.68339 0.06595
HB0725 0.625 0.00565 0.37272 0.19997
HB0729 0.406 0.00184 0.59250 0.14687
HB0732 0.627 0.00067 0.37226 0.01003
HB0737 0.408 0.06760 0.55171 0.90610
HB0742 0.293 0.00192 0.70562 0.18798
HB0749 0.611 0.00336 0.38758 0.16147
HB0750 0.586 0.00056 0.41370 0.01254
HB0752 0.631 0.00090 0.36797 0.01507
HB0754 0.556 0.00083 0.44290 0.03367
HB0756 0.666 0.00076 0.33302 0.00412
HB0757 0.295 0.00161 0.70314 0.16584
HB0759 0.646 0.00027 0.35326 0.00280
HB0764 0.525 0.00039 0.47453 0.00683
HB0766 0.489 0.05702 0.48110 0.88564
HB0768 0.550 0.00048 0.44918 0.00528
HB0808 0.551 0.01305 0.44292 0.60285
HB0814 0.192 0.02324 0.78827 0.94136
HB0817 0.669 0.00040 0.32989 0.00113
HB0818 0.576 0.00033 0.42289 0.00812
HB0819 0.464 0.00062 0.53484 0.02417
HB0821 0.553 0.00099 0.44562 0.04432
HB0822 0.605 0.00090 0.39406 0.01091
HB0826 0.543 0.00622 0.45348 0.47328
HB0828 0.391 0.00887 0.60353 0.73974
HB0830 0.630 0.00067 0.36919 0.00970
HB0840 0.497 0.01517 0.49509 0.76939
HB0841 0.494 0.01464 0.49851 0.73872
HB0862 0.045 0.00262 0.95237 0.11370
HB0863 0.232 0.00730 0.76165 0.65603
