samplename At_percent Ps_percent unannotated Ps_atleast1read
1.CAN_1994a_S53 0.892 0.00986 0.10684 0.00879
2.CAN_1994b_S55 0.853 0.00679 0.14556 0.00220
3.CYP_1884_S20 0.467 0.00059 0.53247 0.03117
4.DEU_1915_S41 0.845 0.00011 0.15495 0.00264
5.DEU_1922_S33 0.578 0.00411 0.42024 0.27089
6.DEU_1972_S43 0.038 0.00950 0.95265 0.44571
7.DRC_1972_S45 0.785 0.00558 0.21356 0.00424
8.DZA_1862 0.384 0.00145 0.61475 0.19155
9.ERI_1969_S50 0.709 0.00338 0.28992 0.00339
10.ESP_1820 0.057 0.00808 0.93480 0.29784
11.ESP_1908a 0.344 0.00004 0.65526 0.00372
12.ESP_1908b 0.578 0.00084 0.42072 0.00119
13.ESP_1911 0.470 0.00180 0.52832 0.08614
14.ESP_1912a 0.677 0.00184 0.32198 0.00715
15.ESP_1912b 0.906 0.01090 0.09231 0.00476
16.ESP_1913_S15 0.368 0.00007 0.63191 0.00586
17.ESP_1914 0.535 0.00193 0.46366 0.11802
18.ESP_1924 0.328 0.00055 0.67151 0.02585
19.ESP_1926_S46 0.872 0.00010 0.12758 0.00239
20.ESP_1927 0.540 0.00090 0.45917 0.00339
21.ESP_1930 0.564 0.00087 0.43485 0.00377
22.ESP_1944 0.697 0.00261 0.30131 0.07419
23.ESP_1946 0.500 0.00125 0.49933 0.04499
24.ESP_1966 0.412 0.00088 0.58721 0.02750
25.ESP_1966_S41 0.819 0.00630 0.17926 0.22804
26.ESP_1968 0.597 0.00175 0.40162 0.03260
27.ESP_1975 0.073 0.00546 0.92119 0.73966
28.ESP_1982 0.603 0.00131 0.39612 0.00950
29.ESP_1983a 0.789 0.01511 0.20772 0.36157
30.ESP_1983b 0.076 0.00643 0.91778 0.74698
31.ESP_1983d_S46 0.271 0.00703 0.72366 0.00059
32.ESP_1985a_S33 0.029 0.00238 0.96781 0.04650
33.ESP_1985b 0.013 0.08513 0.90220 0.90873
34.ESP_1985c_S36 0.295 0.25030 0.52783 0.88278
35.ESP_1985d_S11 0.893 0.00868 0.10557 0.00008
36.ESP_1987 0.014 0.00118 0.98443 0.17816
37.ESP_1992 0.297 0.00548 0.69853 0.57834
38.ESP_1995_S29 0.882 0.00030 0.11772 0.00512
39.ESP_1998a 0.708 0.00025 0.29189 0.01185
40.ESP_1998b_S2 0.804 0.00014 0.19532 0.00693
41.ESP_1999_S34 0.891 0.00036 0.10846 0.00732
42.ESP_2002 0.645 0.00083 0.35442 0.02127
43.ESP_2007_S15 0.847 0.00050 0.15252 0.01414
44.ESP_2008_S22 0.783 0.00020 0.21686 0.00694
45.ETH_1838_S20 0.333 0.00144 0.66534 0.08496
46.ETH_1838_S52 0.755 0.01318 0.24165 0.02713
47.ETH_1852a_S45 0.354 0.00891 0.63993 0.58963
48.ETH_1852b_S18 0.873 0.00162 0.12646 0.00048
49.ETH_1892_S30 0.357 0.00060 0.64207 0.04174
50.ETH_1965_S37 0.894 0.00978 0.10443 0.00028
51.ETH_1968a_S7 0.421 0.00030 0.57819 0.01777
52.ETH_1968b_S44 0.481 0.00122 0.51783 0.06995
53.ETH_1968c_S26 0.380 0.00006 0.61971 0.00719
54.ETH_1973_S63 0.848 0.00630 0.15016 0.00057
55.ETH_1984 0.687 0.00012 0.31238 0.01190
56.ETH_2003 0.699 0.00192 0.30031 0.00788
57.FRA_1943_S25 0.368 0.00010 0.63096 0.00835
58.GBR_1867_S19 0.388 0.00106 0.61083 0.04363
59.GBR_1899 0.327 0.00190 0.67131 0.11639
60.GBR_1902_S22 0.372 0.00064 0.62705 0.03553
61.GBR_1918_S17 0.413 0.00014 0.58645 0.00802
62.GBR_1921 0.756 0.00532 0.24258 0.03096
63.GBR_1933a_S43 0.774 0.00024 0.22529 0.00550
64.GBR_1933b_S36 0.425 0.07940 0.52922 0.86195
65.GBR_1953_S18 0.112 0.00384 0.88417 0.22830
66.GBR_1967_S13 0.810 0.01531 0.18670 0.43664
67.GBR_2008_S17 0.593 0.00244 0.40596 0.00294
68.ITA_1973_S11 0.741 0.00032 0.25855 0.01891
69.KAZ_1914_S32 0.794 0.00010 0.20538 0.00199
70.KAZ_1921_S1 0.703 0.00034 0.29662 0.01562
71.KAZ_1956_S8 0.888 0.00835 0.11098 0.00125
72.KEN_1935_S42 0.680 0.00304 0.31821 0.00076
73.KEN_1967_S36 0.404 0.00323 0.59344 0.07426
74.KEN_1997_S41 0.817 0.00589 0.18123 0.01099
75.LTU_1894_S30 0.494 0.06376 0.47290 0.89114
76.LTU_2009_S19 0.004 0.24042 0.75587 0.87447
77.MAR_1981 0.254 0.00346 0.74307 0.48525
78.NLD_1960_S12 0.343 0.00080 0.65581 0.04724
79.NOR_1898a 0.567 0.00064 0.43264 0.05799
80.NOR_1898_S26 0.808 0.00012 0.19104 0.00281
81.NOR_1899 0.634 0.00445 0.36396 0.29136
82.NOR_1905 0.652 0.00344 0.34648 0.10968
83.NOR_1906_S9 0.820 0.00346 0.17869 0.10482
84.NOR_1907_S24 0.852 0.00028 0.14728 0.00679
85.NOR_1908 0.480 0.00197 0.51838 0.09014
86.NOR_1911_S7 0.414 0.00794 0.58128 0.67471
87.NOR_1912 0.294 0.00090 0.70468 0.03995
88.NOR_1912_S13 0.434 0.00006 0.56585 0.00360
89.NOR_1916 0.695 0.00258 0.30397 0.02179
90.NOR_1918_S2 0.745 0.00010 0.25427 0.00299
91.NOR_1925 0.613 0.00126 0.38627 0.00333
92.NOR_1927_S25 0.672 0.00013 0.32753 0.00591
93.NOR_1928_S6 0.770 0.01852 0.22553 0.37497
94.NOR_1929 0.755 0.00092 0.24410 0.04686
95.NOR_1934 0.481 0.00533 0.51585 0.48161
96.NOR_1935 0.566 0.00069 0.43330 0.02801
97.NOR_1935_S3 0.876 0.01730 0.12102 0.12919
98.NOR_1942 0.458 0.00156 0.54046 0.04077
99.NOR_1949a 0.542 0.00154 0.45686 0.11311
100.NOR_1949_S5 0.837 0.00607 0.16111 0.03188
101.NOR_1952 0.630 0.00057 0.36964 0.03480
102.NOR_1954_S21 0.887 0.00026 0.11262 0.00728
103.NOR_1955_S42 0.480 0.01076 0.51392 0.00137
104.NOR_1956 0.035 0.00520 0.95929 0.21996
105.NOR_1966 0.533 0.00337 0.46513 0.09925
106.NOR_1967_S28 0.509 0.01208 0.48500 0.00172
107.NOR_1968 0.421 0.00034 0.57830 0.04893
