samplename At_percent Ps_percent unannotated Ps_atleast1read
1.CAN_1994a_S53 0.669 0.00016 0.33071 0.00870
2.CAN_1994b_S55 0.660 0.00005 0.33941 0.00211
3.CYP_1884_S20 0.360 0.00038 0.63963 0.02535
4.DEU_1915_S41 0.678 0.00004 0.32132 0.00252
5.DEU_1922_S33 0.460 0.00318 0.53770 0.26875
6.DEU_1972_S43 0.026 0.00840 0.96570 0.42677
7.DRC_1972_S45 0.579 0.00007 0.42022 0.00419
8.DZA_1862 0.279 0.00115 0.71938 0.18562
9.ERI_1969_S50 0.537 0.00005 0.46263 0.00327
10.ESP_1820 0.036 0.00671 0.95740 0.26770
11.ESP_1908a 0.253 0.00003 0.74620 0.00308
12.ESP_1908b 0.457 00 0.54237 0.00099
13.ESP_1911 0.341 0.00085 0.65804 0.07779
14.ESP_1912a 0.515 0.00009 0.48399 0.00541
15.ESP_1912b 0.657 0.00007 0.34278 0.00472
16.ESP_1913_S15 0.269 0.00005 0.73021 0.00507
17.ESP_1914 0.410 0.00082 0.58950 0.11621
18.ESP_1924 0.244 0.00035 0.75494 0.01979
19.ESP_1926_S46 0.707 0.00004 0.29262 0.00233
20.ESP_1927 0.428 0.00003 0.57115 0.00302
21.ESP_1930 0.432 0.00003 0.56779 0.00339
22.ESP_1944 0.515 0.00052 0.48452 0.07211
23.ESP_1946 0.372 0.00031 0.62760 0.04048
24.ESP_1966 0.315 0.00024 0.68421 0.02164
25.ESP_1966_S41 0.657 0.00328 0.34116 0.22654
26.ESP_1968 0.462 0.00038 0.53752 0.02578
27.ESP_1975 0.037 0.00515 0.95779 0.73513
28.ESP_1982 0.474 0.00012 0.52589 0.00763
29.ESP_1983a 0.593 0.00538 0.40466 0.35978
30.ESP_1983b 0.060 0.00580 0.93421 0.74428
31.ESP_1983d_S46 0.201 0.00323 0.79635 0.00057
32.ESP_1985a_S33 0.022 0.00232 0.97508 0.04612
33.ESP_1985b 0.010 0.08405 0.90594 0.90681
34.ESP_1985c_S36 0.241 0.23119 0.58307 0.88006
35.ESP_1985d_S11 0.705 00 0.29402 0.00006
36.ESP_1987 0.010 0.00116 0.98847 0.17710
37.ESP_1992 0.235 0.00430 0.76167 0.57275
38.ESP_1995_S29 0.669 0.00008 0.33094 0.00506
39.ESP_1998a 0.526 0.00012 0.47335 0.01060
40.ESP_1998b_S2 0.634 0.00006 0.36584 0.00676
41.ESP_1999_S34 0.695 0.00010 0.30405 0.00725
42.ESP_2002 0.501 0.00045 0.49849 0.01765
43.ESP_2007_S15 0.649 0.00019 0.35064 0.01396
44.ESP_2008_S22 0.607 0.00008 0.39253 0.00684
45.ETH_1838_S20 0.219 0.00093 0.78006 0.06941
46.ETH_1838_S52 0.622 0.00058 0.37690 0.02685
47.ETH_1852a_S45 0.259 0.00752 0.73465 0.58123
48.ETH_1852b_S18 0.699 0.00068 0.30079 0.00048
49.ETH_1892_S30 0.259 0.00047 0.73999 0.03894
50.ETH_1965_S37 0.672 00 0.32756 0.00026
51.ETH_1968a_S7 0.306 0.00019 0.69370 0.01502
52.ETH_1968b_S44 0.341 0.00087 0.65817 0.06659
53.ETH_1968c_S26 0.275 0.00005 0.72473 0.00699
54.ETH_1973_S63 0.573 0.00001 0.42653 0.00054
55.ETH_1984 0.505 0.00006 0.49491 0.01139
56.ETH_2003 0.507 0.00007 0.49278 0.00744
57.FRA_1943_S25 0.268 0.00007 0.73100 0.00780
58.GBR_1867_S19 0.302 0.00069 0.69743 0.03406
59.GBR_1899 0.236 0.00108 0.76250 0.09935
60.GBR_1902_S22 0.286 0.00043 0.71333 0.02851
61.GBR_1918_S17 0.311 0.00009 0.68799 0.00665
62.GBR_1921 0.586 0.00075 0.41322 0.02984
63.GBR_1933a_S43 0.600 0.00012 0.39923 0.00529
64.GBR_1933b_S36 0.349 0.06974 0.60487 0.85899
65.GBR_1953_S18 0.087 0.00264 0.91029 0.22671
66.GBR_1967_S13 0.660 0.00845 0.33703 0.43451
67.GBR_2008_S17 0.454 0.00007 0.54508 0.00292
68.ITA_1973_S11 0.587 0.00018 0.41272 0.01859
69.KAZ_1914_S32 0.615 0.00004 0.38407 0.00186
70.KAZ_1921_S1 0.567 0.00023 0.43266 0.01542
71.KAZ_1956_S8 0.684 0.00001 0.31511 0.00122
72.KEN_1935_S42 0.553 0.00002 0.44608 0.00071
73.KEN_1967_S36 0.307 0.00147 0.69170 0.07377
74.KEN_1997_S41 0.617 0.00021 0.38228 0.01081
75.LTU_1894_S30 0.389 0.05246 0.57853 0.88838
76.LTU_2009_S19 0.003 0.23891 0.75833 0.87176
77.MAR_1981 0.194 0.00289 0.80305 0.46971
78.NLD_1960_S12 0.261 0.00057 0.73835 0.04073
79.NOR_1898a 0.449 0.00038 0.54994 0.04872
80.NOR_1898_S26 0.625 0.00005 0.37448 0.00275
81.NOR_1899 0.509 0.00216 0.48933 0.28660
82.NOR_1905 0.509 0.00105 0.49012 0.10666
83.NOR_1906_S9 0.643 0.00173 0.35559 0.10430
84.NOR_1907_S24 0.662 0.00011 0.33712 0.00661
85.NOR_1908 0.368 0.00151 0.63032 0.08485
86.NOR_1911_S7 0.308 0.00669 0.68711 0.67204
